season,cutoff,wk,n_rows,n_fcsdiv,n_nonfbs,n_link_games,n_nn_games,lamf_off,lamf_def,pi_prior_nonfbs,pi_prior_fcsdiv,pi_data_pts_fcsdiv,free_gap,insample_link_resid,mean_prior_fbs_power
2019,2019-12-02,16,3080,126,180,114,716,3.23790813790406,3.41416332922614,0.6970021959789,0.655237793418065,0.276293082202997,-9.71944314862335,7.20942142488741,-4.37257068160062e-16
2019,2019-12-09,17,3138,126,180,114,724,3.23790813790406,3.41416332922614,0.696873368721468,0.655094335319622,0.276407859363135,-9.71793007098091,7.21476225804976,-4.37257068160062e-16
2019,2019-12-16,18,3154,126,180,114,729,3.23790813790406,3.41416332922614,0.696819857404768,0.65502470308265,0.276464248065137,-9.71916206522936,7.21827360578517,-4.37257068160062e-16
2019,2019-12-23,19,3172,126,180,114,732,3.23790813790406,3.41416332922614,0.696782544113237,0.654981222477139,0.276499407152017,-9.70277566062478,7.20502436630437,-4.37257068160062e-16
2019,2019-12-30,20,3200,126,180,114,732,3.23790813790406,3.41416332922614,0.696741986970669,0.654932275308384,0.276536694369178,-9.71183031845622,7.21670232062228,-4.37257068160062e-16
2019,2020-01-06,21,3236,126,180,114,732,3.23790813790406,3.41416332922614,0.696624492664542,0.654797470311343,0.276645085002038,-9.72864149513597,7.23751818094073,-4.37257068160062e-16
2019,2020-01-13,22,3240,126,180,114,733,3.23790813790406,3.41416332922614,0.696614541056369,0.654787299771689,0.276653174768629,-9.72725047725748,7.23670060064639,-4.37257068160062e-16
2021,2021-08-30,2,10,4,4,0,2,3.3375371800835,3.29519617814761,1,1,0,,,-2.59621384220037e-16
2021,2021-09-06,3,232,100,114,34,41,3.3375371800835,3.29519617814761,0.886578493559716,0.877407381362773,0.0993680652585101,-4.58407298242119,3.34815234632918,-2.59621384220037e-16
2021,2021-09-13,4,488,119,144,72,84,3.3375371800835,3.29519617814761,0.788086995576024,0.768825128732305,0.188783424988551,-7.52020462541466,5.1382770399138,-2.59621384220037e-16
2021,2021-09-20,5,738,128,161,93,137,3.3375371800835,3.29519617814761,0.741243799951129,0.716175364241101,0.231685025994957,-8.42208953521631,6.05936292490672,-2.59621384220037e-16
2021,2021-09-27,6,972,128,166,106,186,3.3375371800835,3.29519617814761,0.711544795094826,0.679854044388597,0.261670610636176,-7.81935061176207,5.71686211014577,-2.59621384220037e-16
2021,2021-10-04,7,1212,128,166,106,241,3.3375371800835,3.29519617814761,0.709395209187968,0.677576695428355,0.263489476382475,-7.84306391592128,5.82175939196839,-2.59621384220037e-16
2021,2021-10-11,8,1434,128,166,106,301,3.3375371800835,3.29519617814761,0.707752121210948,0.675796389536832,0.264957690555578,-7.83179092281407,5.855743372685,-2.59621384220037e-16
2021,2021-10-18,9,1650,128,166,107,356,3.3375371800835,3.29519617814761,0.703681014531803,0.671469786158399,0.268439070599329,-7.73991076614141,5.8930840097497,-2.59621384220037e-16
2021,2021-10-25,10,1878,128,167,108,411,3.3375371800835,3.29519617814761,0.700899970130061,0.667814301735264,0.271369073159008,-7.72515277755039,5.86317285621833,-2.59621384220037e-16
2021,2021-11-01,11,2102,128,167,108,473,3.3375371800835,3.29519617814761,0.700067115091305,0.666958081128359,0.272036938414764,-7.76935084700007,5.92577773401725,-2.59621384220037e-16
2021,2021-11-08,12,2344,128,168,110,533,3.3375371800835,3.29519617814761,0.696119988424724,0.661944465123382,0.276028320659909,-7.77597126884732,5.90241103728144,-2.59621384220037e-16
2021,2021-11-15,13,2562,128,168,113,589,3.3375371800835,3.29519617814761,0.689459829756852,0.654415867814919,0.282042282095529,-7.35510189477623,5.53850417101369,-2.59621384220037e-16
2021,2021-11-22,14,2822,128,168,117,652,3.3375371800835,3.29519617814761,0.681092555558134,0.645380300406956,0.289248999010969,-7.2319042800611,5.35596032897409,-2.59621384220037e-16
2021,2021-11-29,15,2980,128,168,117,665,3.3375371800835,3.29519617814761,0.68076400681376,0.645283508541659,0.289320900579397,-7.29674039178846,5.42407250974769,-2.59621384220037e-16
2021,2021-12-06,16,3038,128,168,117,674,3.3375371800835,3.29519617814761,0.680700856146736,0.645220282149293,0.28937027585411,-7.28863205219433,5.41819918732531,-2.59621384220037e-16
2021,2021-12-13,17,3054,128,168,117,678,3.3375371800835,3.29519617814761,0.680663807748261,0.645172132708862,0.289410471635562,-7.28095384314019,5.41155562386711,-2.59621384220037e-16
2021,2021-12-20,18,3074,128,168,117,682,3.3375371800835,3.29519617814761,0.680644831110659,0.645158309497028,0.289423412628911,-7.30317914680566,5.43886224281626,-2.59621384220037e-16
2021,2021-12-27,19,3092,128,168,117,682,3.3375371800835,3.29519617814761,0.680642513152141,0.64515443302684,0.289426981769299,-7.31746254482826,5.45083505357542,-2.59621384220037e-16
2021,2022-01-03,20,3132,128,168,117,682,3.3375371800835,3.29519617814761,0.680539922118238,0.645041261932402,0.289518369135084,-7.30379026606843,5.44309212028252,-2.59621384220037e-16
2021,2022-01-10,21,3138,128,168,117,683,3.3375371800835,3.29519617814761,0.680531586437209,0.645030444453886,0.289529253742314,-7.30057092017873,5.43846669684058,-2.59621384220037e-16
2022,2022-08-29,2,20,9,9,3,3,3.28332948265101,3.16905817103283,0.920060583171887,0.920060583171887,0.06395153346249,-12.6482990104952,3.27372837669543,-5.42399034931374e-17
2022,2022-09-05,3,260,111,124,37,47,3.28332948265101,3.16905817103283,0.880565415816701,0.872650339537982,0.104308870655476,-9.81820640021981,5.85809256079163,-5.42399034931374e-17
2022,2022-09-12,4,526,122,150,71,98,3.28332948265101,3.16905817103283,0.790649982467754,0.768900612643331,0.190454499642384,-10.1268129101926,6.43009805929916,-5.42399034931374e-17
2022,2022-09-19,5,774,130,166,95,149,3.28332948265101,3.16905817103283,0.738058909900184,0.70752947180269,0.24091771096914,-10.0022710187592,7.2544698713688,-5.42399034931374e-17
