split,arm,J,fbsfbs_n,fbsfbs_logloss,fbsfbs_brier,fbsfbs_mae,fbsfbs_rmse,fbsfbs_winners,fbsfbs_calib_slope,fbsfbs_calib_slope_site,fbsfbs_p4g5,fbsfcs_n,fbsfcs_bias,fbsfcs_mae,fbsfcs_rmse,fbsfcs_winners,fbsfcs_logloss,fbsfcs_brier,fbsfcs_pred_sd,fbsfcs_pred_mean,fbsfcs_fcs_mean,fcsfcs_n,fcsfcs_mae,fcsfcs_rmse,fcsfcs_bias,fcsfcs_calib_slope,fcsfcs_spearman,family
cond,SR_on_L_last_n20,0.474993641281237,2398,0.529527127781967,0.179722204606357,12.2682790709241,15.4275248456584,0.721017514595496,0.980954630318925,0.982040141373746,0.336161922052019,365,-0.0810342590759831,12.3095610884073,15.3109981530138,0.961643835616438,0.11671610531205,0.031323235003796,12.4945596988806,31.3628013573624,-29.3031170623906,1878,12.4421771710149,15.8981321615149,0.132449868408433,1.0744297137061,0.614226318019076,SR
cond,S2_on_G12,0.475626655038882,2398,0.529933120907014,0.179865603710458,12.2670170328409,15.430511126674,0.723102585487907,0.980624425629698,0.981750083824011,0.341564722751663,365,-0.516932812132108,12.3563971566811,15.3831828609814,0.961643835616438,0.118840613527157,0.031613358108056,12.2865999059246,30.9269028043063,-28.9374534809643,1878,12.6431497304173,16.1637442139139,-0.0461076338975814,1.18642272499264,0.606187655977381,S_G
cond,S4_on_G12,0.475841424432022,2398,0.530190931964458,0.179948342709145,12.2692199917733,15.4346218996343,0.722685571309425,0.979555377607985,0.980673768797136,0.333212790768252,365,-0.410857884499977,12.4270324184782,15.4530099299025,0.961643835616438,0.118772605081941,0.0315835156876059,12.2606871826207,31.0329777319384,-29.0381340941971,1878,12.8677635408367,16.4379520593229,-0.0773708863454007,1.29009953676559,0.597643019300253,S_G
cond,S2_on_L_last_n20,0.475180340253037,2398,0.529779551183184,0.179804498953851,12.2686336692767,15.429158149236,0.723102585487907,0.980173540644237,0.981266870662401,0.326054370631977,365,0.327273465918762,12.3712013133631,15.3701342201869,0.961643835616438,0.116471003785933,0.0313601053541469,12.3905127740308,31.7711090823571,-29.7211453832231,1878,12.5265475426468,16.0188235814729,0.042953832785731,1.20437797511263,0.616524840895119,S_L
cond,S4_on_L_last_n20,0.475544767570155,2398,0.530076216614881,0.179904674447027,12.2705803124856,15.4339208841071,0.723519599666389,0.979132504976279,0.980226380734533,0.319764227846707,365,0.297588101145877,12.4448410145496,15.4577360199424,0.961643835616438,0.117280617407833,0.0315023187229177,12.3511604210397,31.7414237175842,-29.6906070648879,1878,12.807221345703,16.3606431567097,-0.0308005720476734,1.29846389647521,0.602822287778532,S_L
dev,C0,0.491399931752798,3868,0.526126892789367,0.176808280376259,12.8343786429205,16.2065963810173,0.725180972078594,0.997397089644659,0.998500866237087,4.57040082089315,561,-10.17298897133,15.9120216262835,19.7084887262478,0.928698752228164,0.251963416085339,0.0693724484092311,12.1248400646756,18.9767436489908,-17.1113440382796,2958,13.2605499008586,16.869254029241,0.728740265324385,1.00124412697114,0.583429307774914,C0
dev,FLAT_on_L_last_n20,0.487251907092043,3868,0.526281039463238,0.177057447438758,12.903108940712,16.2855297710492,0.727507755946225,0.974841823771282,0.97575553578213,4.62990490375614,561,1.07653308582049,15.2234840546545,18.881830910393,0.93048128342246,0.218152648604023,0.059916279864175,10.4242271365617,30.2262657061413,-27.8557757537839,2958,16.6753907490526,21.0780324761683,0.230551671860649,1.06695867894399,0.11396334664298,FLAT
dev,G04,0.486925896468025,3868,0.52555705278386,0.176610717154046,12.8265367081628,16.1907762577419,0.726215098241986,0.997901960552706,0.999035097365456,4.51723353457908,561,-6.48278636492503,14.442406529245,18.0657214816951,0.937611408199644,0.220570615488249,0.0590885043335357,12.0554402983411,22.6669462553958,-20.6502522511018,2958,13.2226616037817,16.8128975897318,0.750694246015501,1.01230169292121,0.587165483535159,G
dev,G06,0.485528336592624,3868,0.525314904198354,0.176527922917354,12.8231030978911,16.1842207143123,0.725180972078594,0.997914912149027,0.999060120809759,4.49064989142205,561,-4.63768506172252,13.9349991746843,17.4850985057929,0.934046345811052,0.211206690426905,0.0562642071752577,12.0277676155581,24.5120475585983,-22.4197063575128,2958,13.2057599678481,16.7878364702584,0.76167123636106,1.01722506337434,0.588837712589157,G
dev,G08,0.484632090730551,3868,0.525101342317888,0.176455822143725,12.8202037038943,16.1785696970228,0.725180972078594,0.997768909231992,0.998924440516718,4.46406624826501,561,-2.79258375852002,13.6176289026249,17.0883208654899,0.932263814616756,0.205603454117682,0.054626354340008,12.0048247576228,26.3571488618008,-24.1891604639239,2958,13.1907603507311,16.7648661008999,0.772648226706618,1.02172858319012,0.590542541708445,G
