split,arm,slice,level,n,bias,mae
dev,S4_on_G12,FBS strength (C0 quintile),FBS Q3,112,0.382892702150308,13.4445252758356
dev,S4_on_L_last_n20,FBS strength (C0 quintile),FBS Q3,112,0.266999746427712,13.8515963993872
dev,SR_on_L_last_n20,FBS strength (C0 quintile),FBS Q3,112,0.153598578587782,13.598951111418
dev,M10,FBS strength (C0 quintile),FBS Q3,112,-0.922152125315808,13.1968344937489
dev,C0,FBS strength (C0 quintile),FBS Q5,113,-7.67548246454675,13.6346805369622
dev,FLAT_on_L_last_n20,FBS strength (C0 quintile),FBS Q5,113,5.16227657072247,14.2834811434296
dev,G12,FBS strength (C0 quintile),FBS Q5,113,3.31941697525011,11.853315399272
dev,L_last_n20,FBS strength (C0 quintile),FBS Q5,113,4.34433160619922,12.0291604412434
dev,S4_on_G12,FBS strength (C0 quintile),FBS Q5,113,4.13422921686044,12.3455930980998
dev,S4_on_L_last_n20,FBS strength (C0 quintile),FBS Q5,113,4.36255371646403,12.2876148951592
dev,SR_on_L_last_n20,FBS strength (C0 quintile),FBS Q5,113,3.69819962055753,11.9024488414062
dev,M10,FBS strength (C0 quintile),FBS Q5,113,2.32451753545325,11.6697925080539
dev,C0,FBS strength (C0 quintile),FBS Q1,112,-12.1711952549781,17.8169828377825
dev,FLAT_on_L_last_n20,FBS strength (C0 quintile),FBS Q1,112,-1.69855898018803,16.7300985946416
dev,G12,FBS strength (C0 quintile),FBS Q1,112,-1.33762485870996,14.4859398686297
dev,L_last_n20,FBS strength (C0 quintile),FBS Q1,112,-0.39788739939443,14.251787695422
dev,S4_on_G12,FBS strength (C0 quintile),FBS Q1,112,-0.593776508822538,14.7586662820323
dev,S4_on_L_last_n20,FBS strength (C0 quintile),FBS Q1,112,-0.251390819958361,14.7684563348882
dev,SR_on_L_last_n20,FBS strength (C0 quintile),FBS Q1,112,-1.00112625987426,14.3578649987378
dev,M10,FBS strength (C0 quintile),FBS Q1,112,-2.17119525497811,14.2760512066396
dev,C0,FBS strength (C0 quintile),FBS Q2,112,-9.87128754178615,16.7820587887148
dev,FLAT_on_L_last_n20,FBS strength (C0 quintile),FBS Q2,112,-0.163138584260669,15.9861541568866
dev,G12,FBS strength (C0 quintile),FBS Q2,112,1.34522704898242,15.0989610719393
dev,L_last_n20,FBS strength (C0 quintile),FBS Q2,112,1.90555390713226,14.7263177313662
dev,S4_on_G12,FBS strength (C0 quintile),FBS Q2,112,1.65557127046521,14.8500730166721
dev,S4_on_L_last_n20,FBS strength (C0 quintile),FBS Q2,112,1.83839932904118,14.4944180527573
dev,SR_on_L_last_n20,FBS strength (C0 quintile),FBS Q2,112,1.41532428916022,14.7808293772187
dev,M10,FBS strength (C0 quintile),FBS Q2,112,0.128712458213845,14.9381498843
cond,C0,FBS strength (C0 quintile),FBS Q5,73,-9.70357230461626,16.2128204775175
cond,FLAT_on_L_last_n20,FBS strength (C0 quintile),FBS Q5,73,4.13818685534975,13.9859199548159
cond,G12,FBS strength (C0 quintile),FBS Q5,73,1.36634915377366,13.8774824399462
cond,L_last_n20,FBS strength (C0 quintile),FBS Q5,73,2.73726017486811,14.1751066476209
cond,S4_on_G12,FBS strength (C0 quintile),FBS Q5,73,2.19852126559138,13.748282589891
cond,S4_on_L_last_n20,FBS strength (C0 quintile),FBS Q5,73,3.05690414466916,14.0740422082881
cond,SR_on_L_last_n20,FBS strength (C0 quintile),FBS Q5,73,2.21843050494246,14.0503125631094
cond,M10,FBS strength (C0 quintile),FBS Q5,73,0.296427695383739,14.1693876973981
cond,C0,FBS strength (C0 quintile),FBS Q1,73,-12.4711328898632,15.9558636982694
cond,FLAT_on_L_last_n20,FBS strength (C0 quintile),FBS Q1,73,-2.47370929806123,13.0231682846049
cond,G12,FBS strength (C0 quintile),FBS Q1,73,-1.79578632809342,12.3634001718499
cond,L_last_n20,FBS strength (C0 quintile),FBS Q1,73,-0.68062048902146,12.0648055776362
