season,week,as_of,team_id,fbs,rank,power,off,def,games_played,model_version,design_hash,feature_hash,reconstructed_at
2026,1,2026-09-07T00:00:00Z,52,TRUE,32,9.5681131033897,4.67466672796059,-4.89344637542911,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,2567,TRUE,33,9.40550446191052,5.15922914499686,-4.24627531691366,0,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,259,TRUE,34,9.21785908470743,6.91033337873382,-2.30752570597361,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,356,TRUE,35,8.99121288066104,6.87577570201682,-2.11543717864423,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,238,TRUE,36,8.78114874758103,3.51859160773131,-5.26255713984972,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,12,TRUE,37,8.04955389561955,4.50846482716818,-3.54108906845137,0,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,135,TRUE,38,7.9585733194362,3.3668547802476,-4.5917185391886,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,344,TRUE,39,7.91626230791859,6.77762832562266,-1.13863398229592,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,275,TRUE,40,6.62115519872314,0.93912863596462,-5.68202656275852,0,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,2116,TRUE,41,6.19956537270616,2.70531646053582,-3.49424891217034,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,68,TRUE,42,6.08799036486275,3.59557955397816,-2.49241081088459,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,77,TRUE,43,5.90620897725386,2.18847289715618,-3.71773608009768,0,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,26,TRUE,44,5.63274641539423,3.82419247483041,-1.80855394056382,0,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,239,TRUE,45,5.38617407282735,1.31056790335481,-4.07560616947254,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,9,TRUE,46,5.31670941693731,0.722586755132676,-4.59412266180464,0,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,59,TRUE,47,5.06805424470255,0.213116882410416,-4.85493736229213,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,248,TRUE,48,4.91721728912442,3.26702026379617,-1.65019702532825,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,228,TRUE,49,4.89942487310535,1.05377011189243,-3.84565476121293,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,38,TRUE,50,4.86405251888129,0.0645888404820841,-4.7994636783992,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,2132,TRUE,51,4.26897456369658,1.42604649153226,-2.84292807216432,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,96,TRUE,52,3.62067911893719,0.872094167134626,-2.74858495180257,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,150,TRUE,53,3.0753574300023,0.0812113712606561,-2.99414605874164,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,120,TRUE,54,2.97440661637898,0.375974787944451,-2.59843182843453,0,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,152,TRUE,55,2.62319546400851,1.8583617233225,-0.764833740686012,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,8,TRUE,56,2.46222782826929,1.83853609832538,-0.623691729943911,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,127,TRUE,57,1.87082608574366,1.46924575301638,-0.401580332727277,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,183,TRUE,58,1.36486479999815,1.54593479762519,0.181069997627032,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,2628,TRUE,59,1.33648249393518,-1.98620687111748,-3.32268936505265,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,235,TRUE,60,0.990458932367874,0.947116756099101,-0.0433421762687737,2,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,153,TRUE,61,0.912834413468756,-1.70103698637413,-2.61387139984289,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,21,TRUE,62,0.767055795930893,0.891421613446161,0.124365817515268,0,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,154,TRUE,63,0.617823138251067,-0.512249156829309,-1.13007229508038,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
