split,slice_type,slice,comparison,A_logloss,A_mae,metric,delta,lo95,hi95,n
dev,gp_bucket,1,A0 - A,0.510135421994253,13.4872542009191,logloss,0.0047066311110857,0.00075552053485186,0.00901583820932342,343
dev,gp_bucket,1,A0 - A,0.510135421994253,13.4872542009191,brier,0.00181841858886408,0.000184558732329419,0.00368123698255774,343
dev,gp_bucket,1,A0 - A,0.510135421994253,13.4872542009191,mae,0.0696672887829145,-0.024969558346387,0.177532502992661,343
dev,gp_bucket,1,A0 - A,0.510135421994253,13.4872542009191,rmse,0.0698941503361965,-0.0113111573535376,0.161661816409402,343
dev,gp_bucket,1,B - A,0.510135421994253,13.4872542009191,logloss,-0.00152017448573518,-0.00272912876147289,-0.000338866310045747,343
dev,gp_bucket,1,B - A,0.510135421994253,13.4872542009191,brier,-0.000554011834199852,-0.00110984694632255,-3.47226746698759e-05,343
dev,gp_bucket,1,B - A,0.510135421994253,13.4872542009191,mae,-0.023303979616446,-0.0557336680944368,0.00626391348681039,343
dev,gp_bucket,1,B - A,0.510135421994253,13.4872542009191,rmse,-0.0223277652045475,-0.0478757284126478,0.00222380275975347,343
dev,gp_bucket,2-3,A0 - A,0.506897185550321,12.695503971353,logloss,0.00194438226648181,-0.000913364194338584,0.00478294418997315,660
dev,gp_bucket,2-3,A0 - A,0.506897185550321,12.695503971353,brier,0.000821295492227383,-0.000443308556102586,0.00200324306864079,660
dev,gp_bucket,2-3,A0 - A,0.506897185550321,12.695503971353,mae,0.0780847979568064,0.0108320467574939,0.138747598321214,660
dev,gp_bucket,2-3,A0 - A,0.506897185550321,12.695503971353,rmse,0.0596495230537606,0.00426415606226938,0.115898830190967,660
dev,gp_bucket,2-3,B - A,0.506897185550321,12.695503971353,logloss,-9.4665040626145e-05,-0.00108450142398594,0.000917535102438124,660
dev,gp_bucket,2-3,B - A,0.506897185550321,12.695503971353,brier,-2.06484698060593e-05,-0.000450772746535189,0.000430703138199786,660
dev,gp_bucket,2-3,B - A,0.506897185550321,12.695503971353,mae,-0.00698455406798779,-0.0281289681900888,0.0138499185235437,660
dev,gp_bucket,2-3,B - A,0.506897185550321,12.695503971353,rmse,-0.00389099938973914,-0.0368520515874658,0.0342109763650919,660
dev,gp_bucket,4-6,A0 - A,0.562900532902798,12.6649457163069,logloss,-0.0017328314073997,-0.00553118728919405,0.00162242612319968,945
dev,gp_bucket,4-6,A0 - A,0.562900532902798,12.6649457163069,brier,-0.000443415987046909,-0.00175216692722247,0.000802981456845527,945
dev,gp_bucket,4-6,A0 - A,0.562900532902798,12.6649457163069,mae,-0.0222682827737011,-0.0869781234284075,0.0420392428166855,945
dev,gp_bucket,4-6,A0 - A,0.562900532902798,12.6649457163069,rmse,-0.0739691265297182,-0.153196357170294,0.000411948555927918,945
dev,gp_bucket,4-6,B - A,0.562900532902798,12.6649457163069,logloss,-4.56078122537166e-05,-0.000803005533145389,0.000923557954003235,945
dev,gp_bucket,4-6,B - A,0.562900532902798,12.6649457163069,brier,-8.87783278971643e-05,-0.000336382721830189,0.000213520328925071,945
dev,gp_bucket,4-6,B - A,0.562900532902798,12.6649457163069,mae,-0.0137416991123451,-0.0292592514945743,0.0034975486573552,945
dev,gp_bucket,4-6,B - A,0.562900532902798,12.6649457163069,rmse,-0.00447556788233428,-0.0197857549221854,0.0160642890124662,945
dev,gp_bucket,7+,A0 - A,0.528238758769007,12.7470837761077,logloss,-0.000627253250810334,-0.00214129782746749,0.000792634998201103,1478
dev,gp_bucket,7+,A0 - A,0.528238758769007,12.7470837761077,brier,-0.000294056803862797,-0.000921717942896049,0.000289147344897764,1478
dev,gp_bucket,7+,A0 - A,0.528238758769007,12.7470837761077,mae,-0.0221285381983186,-0.0620497354961888,0.0199228863315623,1478
