universe,model,line,bucket,n,mean_c,lo95,hi95
condK,K,close,"[0,1)",452,-0.164823008849556,-1.83930724019167,1.45397085675339
condK,K,close,"[1,2)",440,0.732386363636369,-0.812788188354327,2.07659017807198
condK,K,close,"[2,3)",399,1.39160401002506,-0.281643221832672,3.10950742584153
condK,K,close,"[3,5)",568,1.72051056338028,0.436695250559826,3.06417428107607
condK,K,close,"[5,7)",282,0.171985815602838,-1.257265332397,1.57758729454241
condK,K,close,>=7,257,-0.835603112840467,-2.87993612375732,1.16934865799958
condK,K,close,trend gamma,2398,-0.0429190425768748,-0.308354394829253,0.232970908356705
condK,K,open,"[0,1)",471,0.871549893842891,-0.317530359170272,2.03062862435567
condK,K,open,"[1,2)",446,-0.132847533632287,-1.49605099502488,1.0959684281555
condK,K,open,"[2,3)",387,-0.980620155038758,-2.30350572276388,0.243954301229025
condK,K,open,"[3,5)",553,1.2373417721519,-0.266654422581664,2.68523613144974
condK,K,open,"[5,7)",319,1.09639498432602,-0.619794355691917,2.74257976102488
condK,K,open,>=7,222,1.53941441441442,-0.584677840434419,3.73898897058824
condK,K,open,trend gamma,2398,0.207718597827399,-0.0277806984227491,0.462234047440125
