universe,slice_type,slice,comparison,metric,estimate,lo95,hi95,lo90,hi90,se,n
dev,gp_bucket,2-3,C2f - I,brier,-0.00180298656024938,-0.00991452345196071,0.00620447816271474,-0.00838852483767441,0.00479985192404682,0.00403221603405171,615
dev,gp_bucket,2-3,C2f - I,mae,-0.314080072811828,-0.641895099686695,0.0376018869911016,-0.591581688013935,-0.0187183698254237,0.175860725141731,615
dev,gp_bucket,2-3,C2f - I,rmse,-0.262733014674399,-0.629114340690846,0.097419134110884,-0.561780945580347,0.0406412355264463,0.184749859201414,615
dev,gp_bucket,4-6,C - I,logloss,-0.00924540650586753,-0.0204043593176675,0.00119757161346829,-0.018643659803348,-0.000462413382913687,0.00551832392095665,950
dev,gp_bucket,4-6,C - I,brier,-0.0044760028729738,-0.0085274204258462,-0.000554741469319256,-0.00794975796659695,-0.00117058885679806,0.00202207327548162,950
dev,gp_bucket,4-6,C - I,mae,-0.0722892413172711,-0.275248214572857,0.150727351225601,-0.244876709035708,0.109341453447783,0.108482865117451,950
dev,gp_bucket,4-6,C - I,rmse,0.0216549758595654,-0.199066684629994,0.24003578966378,-0.166435975495365,0.201072992998643,0.111278988550417,950
dev,gp_bucket,4-6,C - C2f,logloss,-0.000676010932484835,-0.00231157200192516,0.000905581991406886,-0.00203066563526373,0.000628539775720981,0.000814306014422006,950
dev,gp_bucket,4-6,C - C2f,brier,-0.000303382276309027,-0.000974186088582928,0.00033315389037911,-0.000854697407734337,0.000215265581508046,0.000329699860905467,950
dev,gp_bucket,4-6,C - C2f,mae,-0.00952685397880611,-0.0419223303175992,0.0226485420694086,-0.0370613677173423,0.0176386170399873,0.0165054929303875,950
dev,gp_bucket,4-6,C - C2f,rmse,-0.0181041784623162,-0.055957530575933,0.0215293456840711,-0.0504501243999346,0.0146795955275065,0.019486974158405,950
dev,gp_bucket,4-6,C2f - I,logloss,-0.0085693955733827,-0.0205802045663812,0.00254991718603234,-0.0185469352241782,0.000670016775310965,0.00586273918409336,950
dev,gp_bucket,4-6,C2f - I,brier,-0.00417262059666477,-0.00857453540607958,8.01795891827688e-05,-0.00791105444692308,-0.000632059716492777,0.00218792945872274,950
dev,gp_bucket,4-6,C2f - I,mae,-0.062762387338465,-0.281209587546588,0.16977048897482,-0.242650690096849,0.127969723821933,0.11428314209187,950
dev,gp_bucket,4-6,C2f - I,rmse,0.0397591543218816,-0.195915353357708,0.266077930869615,-0.157833085043872,0.229319715558756,0.117595499148008,950
dev,gp_bucket,7+,C - I,logloss,-0.00613804821112945,-0.0124335815957881,-7.12715551201722e-05,-0.0115369864970349,-0.00105958737703941,0.00320975426411976,1752
dev,gp_bucket,7+,C - I,brier,-0.00253403056618377,-0.00532533042074074,0.000170617110635771,-0.00494523385069986,-0.000192410438810797,0.00143197969125738,1752
