universe,model,gp_definition,bucket,estimate,lo95,hi95,lo90,hi90,se,n
cond,I,all games,7+,1.0087675884348,0.935578099055849,1.07990963910086,0.946504515877282,1.06813794843491,0.0369717310839771,1114
cond,I,"FBS-only (R15, sensitivity)",0,1.19377329400433,0.988646122476403,1.44658788954988,1.0238223757057,1.39765937612638,0.118351320662866,272
cond,I,"FBS-only (R15, sensitivity)",1,1.01266471645687,0.8942646687137,1.12321226689497,0.920085596108172,1.1033658485292,0.0574646669303394,213
cond,I,"FBS-only (R15, sensitivity)",2-3,0.968388741345122,0.883023071502766,1.06179357435274,0.89612750206041,1.04574433016684,0.0464254319452223,385
cond,I,"FBS-only (R15, sensitivity)",4-6,0.910735967406246,0.824337310705841,1.00370840584919,0.839015647411146,0.98686476952023,0.0456272798057501,601
cond,I,"FBS-only (R15, sensitivity)",7+,1.02480757052045,0.934291581514486,1.10838332408134,0.949566995374434,1.09361665900418,0.0444331010235339,927
cond,C2f,all games,pooled,0.984504148534083,0.939615654475583,1.03098386170027,0.946698473820451,1.02400677794911,0.0234749304650053,2398
cond,C2f,all games,0,1.10240752073549,0.922096560925616,1.24603956701972,0.956362052868745,1.22444944250321,0.0819137146935214,170
cond,C2f,all games,1,1.02408122212408,0.818171856439694,1.32723614874787,0.850604408910856,1.23610566334025,,155
cond,C2f,all games,2-3,0.992257050015051,0.912442045607118,1.06151581581801,0.929105417990003,1.04992329974896,0.0376083299436638,369
cond,C2f,all games,4-6,0.906444638222009,0.832614126220485,0.966165732534599,0.84574483591469,0.957564193663078,0.033926524596274,590
cond,C2f,all games,7+,0.985851146722812,0.912255185393458,1.06151332183412,0.921936901471287,1.04920408883205,0.0385149863765957,1114
cond,C2f,"FBS-only (R15, sensitivity)",0,1.10055867181976,0.952839772252241,1.27919742076106,0.97978146844968,1.24138610345608,0.0827207226898169,272
cond,C2f,"FBS-only (R15, sensitivity)",1,0.956383405921135,0.84239290952047,1.07119952850809,0.86356511313318,1.0488903730333,0.0575740449261282,213
cond,C2f,"FBS-only (R15, sensitivity)",2-3,0.976720980237735,0.903715093870992,1.05142090243296,0.91679363100874,1.03700108108611,0.037675325196727,385
cond,C2f,"FBS-only (R15, sensitivity)",4-6,0.901243639484886,0.823698314762558,0.985093476227404,0.836416923500776,0.972393734734613,0.0417278754568077,601
cond,C2f,"FBS-only (R15, sensitivity)",7+,0.998183270510985,0.90934337713846,1.09043032660805,0.921281732146056,1.07326170541209,0.0464222996767681,927
cond,C,all games,pooled,0.982114345103233,0.937240337610763,1.02918042004187,0.944413683857421,1.02131844174613,0.0236090943759877,2398
cond,C,all games,0,1.10999041505699,0.931821192363713,1.25132897521159,0.967746585059941,1.23002098060383,0.0810620231721798,170
cond,C,all games,1,1.03300014069962,0.832934635629767,1.33394408482726,0.861100702561911,1.25354907185658,0.130655718553238,155
cond,C,all games,2-3,0.985388162602556,0.906040644522167,1.05513539284537,0.924978379986008,1.04375621438528,0.0372295572960147,369
cond,C,all games,4-6,0.90432537481428,0.829994028168637,0.963259685668123,0.845145571217691,0.954519776102535,0.0335034180325808,590
cond,C,all games,7+,0.983315982665066,0.90913433492653,1.06035263208387,0.919015232557844,1.04783475101953,0.0388563546721071,1114
cond,C,"FBS-only (R15, sensitivity)",0,1.11083627328625,0.964549375467374,1.28479715930627,0.990992276202451,1.24718775018503,0.0812418314188302,272
cond,C,"FBS-only (R15, sensitivity)",1,0.948735722611847,0.831227067722922,1.06576557010457,0.853257003688495,1.04402979393819,0.059573054326683,213
cond,C,"FBS-only (R15, sensitivity)",2-3,0.971224907799455,0.898326918784396,1.04595691154413,0.910891731662678,1.03177676062352,0.0377660366420177,385
cond,C,"FBS-only (R15, sensitivity)",4-6,0.899185416556381,0.81973063966237,0.984487266661643,0.833710172038442,0.971350112151249,0.0422115713093558,601
cond,C,"FBS-only (R15, sensitivity)",7+,0.996049010931979,0.906097930908679,1.08937566570595,0.918040582041615,1.07193393664003,0.0469778113742133,927
