source,season,metric,value
plays_raw,2022,fbs_vs_fbs_games_share,1
plays_raw,2022,fbs_vs_fcs_games_share,1
plays_raw,2022,scrimmage_plays,121076
plays_raw,2022,vendor_ppa_finite_share,0.998083848161485
plays_raw,2022,dropbacks_passer_name_parsed_share,0.978098031001257
plays_raw,2022,dropbacks_passer_parsed_either_format_share,0.978098031001257
drives_raw,2022,fbs_vs_fbs_games_share,1
drives_raw,2022,start_yards_to_goal_finite_share,1
plays_raw,2023,fbs_vs_fbs_games_share,1
plays_raw,2023,fbs_vs_fcs_games_share,1
plays_raw,2023,scrimmage_plays,119637
plays_raw,2023,vendor_ppa_finite_share,0.998462014259803
plays_raw,2023,dropbacks_passer_name_parsed_share,0.980954003407155
plays_raw,2023,dropbacks_passer_parsed_either_format_share,0.980954003407155
drives_raw,2023,fbs_vs_fbs_games_share,1
drives_raw,2023,start_yards_to_goal_finite_share,1
plays_raw,2024,fbs_vs_fbs_games_share,1
plays_raw,2024,fbs_vs_fcs_games_share,1
plays_raw,2024,scrimmage_plays,120725
plays_raw,2024,vendor_ppa_finite_share,0.995585007247877
plays_raw,2024,dropbacks_passer_name_parsed_share,0.976907630522088
plays_raw,2024,dropbacks_passer_parsed_either_format_share,0.976907630522088
drives_raw,2024,fbs_vs_fbs_games_share,1
drives_raw,2024,start_yards_to_goal_finite_share,1
plays_raw,2025,fbs_vs_fbs_games_share,1
plays_raw,2025,fbs_vs_fcs_games_share,1
plays_raw,2025,scrimmage_plays,123910
plays_raw,2025,vendor_ppa_finite_share,0.99886207731418
plays_raw,2025,dropbacks_passer_name_parsed_share,0.567588248993579
plays_raw,2025,dropbacks_passer_parsed_either_format_share,0.990135409388828
drives_raw,2025,fbs_vs_fbs_games_share,1
drives_raw,2025,start_yards_to_goal_finite_share,1
plays_live_2026,2026,rows,87647
plays_live_2026,2026,frozen_fbs_vs_fbs_final_games_share,0.156862745098039
cfbd_advanced_game_r5,2015,team_game_rows,1726
cfbd_advanced_game_r5,2016,team_game_rows,1714
cfbd_advanced_game_r5,2017,team_game_rows,1738
cfbd_advanced_game_r5,2018,team_game_rows,1762
cfbd_advanced_game_r5,2019,team_game_rows,1774
cfbd_advanced_game_r5,2020,team_game_rows,1138
cfbd_advanced_game_r5,2021,team_game_rows,1774
cfbd_advanced_game_r5,2022,team_game_rows,2918
cfbd_advanced_game_r5,2023,team_game_rows,2984
cfbd_advanced_game_r5,2024,team_game_rows,3212
cfbd_advanced_game_r5,2025,team_game_rows,3316
talent_composite,2014,fbs_share,0.9921875
talent_composite,2014,non_fbs_rows,154
talent_composite,2014,fcs_opponents_share,0.975308641975309
returning_prod,2014,off_fbs_share,1
returning_prod,2014,def_fbs_share,0
returning_prod,2014,is_estimated_true_rows,0
coaches,2014,fbs_share_with_row,1
coaches,2014,fbs_share_with_hire_date,0.96875
coaches,2014,fbs_teams_with_2plus_coaches,4
portal,2014,events,0
talent_composite,2015,fbs_share,0.9765625
talent_composite,2015,non_fbs_rows,168
talent_composite,2015,fcs_opponents_share,0.95
returning_prod,2015,off_fbs_share,0.9921875
returning_prod,2015,def_fbs_share,0
returning_prod,2015,is_estimated_true_rows,0
coaches,2015,fbs_share_with_row,1
coaches,2015,fbs_share_with_hire_date,0.9765625
coaches,2015,fbs_teams_with_2plus_coaches,4
portal,2015,events,0
talent_composite,2016,fbs_share,0.9765625
talent_composite,2016,non_fbs_rows,178
talent_composite,2016,fcs_opponents_share,0.954545454545455
returning_prod,2016,off_fbs_share,1
returning_prod,2016,def_fbs_share,0
returning_prod,2016,is_estimated_true_rows,0
coaches,2016,fbs_share_with_row,1
coaches,2016,fbs_share_with_hire_date,0.984375
coaches,2016,fbs_teams_with_2plus_coaches,6
portal,2016,events,0
talent_composite,2017,fbs_share,0.992307692307692
talent_composite,2017,non_fbs_rows,181
talent_composite,2017,fcs_opponents_share,0.975609756097561
returning_prod,2017,off_fbs_share,0.984615384615385
returning_prod,2017,def_fbs_share,0.561538461538462
returning_prod,2017,is_estimated_true_rows,0
coaches,2017,fbs_share_with_row,1
coaches,2017,fbs_share_with_hire_date,0.976923076923077
coaches,2017,fbs_teams_with_2plus_coaches,9
portal,2017,events,0
talent_composite,2018,fbs_share,0.976923076923077
talent_composite,2018,non_fbs_rows,172
talent_composite,2018,fcs_opponents_share,0.955056179775281
returning_prod,2018,off_fbs_share,1
returning_prod,2018,def_fbs_share,0.446153846153846
returning_prod,2018,is_estimated_true_rows,0
coaches,2018,fbs_share_with_row,1
coaches,2018,fbs_share_with_hire_date,0.976923076923077
coaches,2018,fbs_teams_with_2plus_coaches,9
portal,2018,events,0
talent_composite,2019,fbs_share,0.992307692307692
talent_composite,2019,non_fbs_rows,178
talent_composite,2019,fcs_opponents_share,0.977011494252874
returning_prod,2019,off_fbs_share,1
returning_prod,2019,def_fbs_share,0.323076923076923
returning_prod,2019,is_estimated_true_rows,0
coaches,2019,fbs_share_with_row,1
coaches,2019,fbs_share_with_hire_date,0.992307692307692
coaches,2019,fbs_teams_with_2plus_coaches,4
portal,2019,events,0
talent_composite,2020,fbs_share,0.9921875
talent_composite,2020,non_fbs_rows,178
talent_composite,2020,fcs_opponents_share,1
returning_prod,2020,off_fbs_share,1
returning_prod,2020,def_fbs_share,0.3515625
returning_prod,2020,is_estimated_true_rows,0
coaches,2020,fbs_share_with_row,1
coaches,2020,fbs_share_with_hire_date,1
coaches,2020,fbs_teams_with_2plus_coaches,6
portal,2020,events,0
talent_composite,2021,fbs_share,0.992307692307692
talent_composite,2021,non_fbs_rows,179
talent_composite,2021,fcs_opponents_share,0.969072164948454
returning_prod,2021,off_fbs_share,0.984615384615385
returning_prod,2021,def_fbs_share,0.361538461538462
returning_prod,2021,is_estimated_true_rows,0
coaches,2021,fbs_share_with_row,1
coaches,2021,fbs_share_with_hire_date,1
coaches,2021,fbs_teams_with_2plus_coaches,22
portal,2021,events,1770
portal,2021,destination_known_share,0.594915254237288
portal,2021,rating_known_share,0.182485875706215
portal,2021,stars_known_share,0.877966101694915
portal,2021,transfer_date_known_share,1
portal,2021,entries_after_aug1_share,0
portal,2021,qb_events,130
talent_composite,2022,fbs_share,0.99236641221374
talent_composite,2022,non_fbs_rows,178
talent_composite,2022,fcs_opponents_share,0.969072164948454
returning_prod,2022,off_fbs_share,0.99236641221374
returning_prod,2022,def_fbs_share,0.854961832061069
returning_prod,2022,is_estimated_true_rows,0
coaches,2022,fbs_share_with_row,1
coaches,2022,fbs_share_with_hire_date,1
coaches,2022,fbs_teams_with_2plus_coaches,15
portal,2022,events,2273
portal,2022,destination_known_share,0.601407831060273
portal,2022,rating_known_share,0.458864936207655
portal,2022,stars_known_share,0.893092828860537
portal,2022,transfer_date_known_share,1
portal,2022,entries_after_aug1_share,0.00395952485701716
portal,2022,qb_events,192
talent_composite,2023,fbs_share,0.992481203007519
talent_composite,2023,non_fbs_rows,177
talent_composite,2023,fcs_opponents_share,0.96875
returning_prod,2023,off_fbs_share,1
returning_prod,2023,def_fbs_share,0.571428571428571
returning_prod,2023,is_estimated_true_rows,0
coaches,2023,fbs_share_with_row,1
coaches,2023,fbs_share_with_hire_date,1
coaches,2023,fbs_teams_with_2plus_coaches,10
portal,2023,events,2502
portal,2023,destination_known_share,0.642286171063149
portal,2023,rating_known_share,0.356115107913669
portal,2023,stars_known_share,0.97242206235012
portal,2023,transfer_date_known_share,1
portal,2023,entries_after_aug1_share,0
portal,2023,qb_events,188
talent_composite,2024,fbs_share,0.992537313432836
talent_composite,2024,non_fbs_rows,184
talent_composite,2024,fcs_opponents_share,0.96875
returning_prod,2024,off_fbs_share,1
returning_prod,2024,def_fbs_share,1
returning_prod,2024,is_estimated_true_rows,0
coaches,2024,fbs_share_with_row,1
coaches,2024,fbs_share_with_hire_date,1
coaches,2024,fbs_teams_with_2plus_coaches,18
portal,2024,events,3378
portal,2024,destination_known_share,0.78567199526347
portal,2024,rating_known_share,0.548253404381291
portal,2024,stars_known_share,0.886915334517466
portal,2024,transfer_date_known_share,1
portal,2024,entries_after_aug1_share,0
portal,2024,qb_events,251
talent_composite,2025,fbs_share,0.992647058823529
talent_composite,2025,non_fbs_rows,185
talent_composite,2025,fcs_opponents_share,0.968085106382979
returning_prod,2025,off_fbs_share,1
returning_prod,2025,def_fbs_share,0.992647058823529
returning_prod,2025,is_estimated_true_rows,0
coaches,2025,fbs_share_with_row,1
coaches,2025,fbs_share_with_hire_date,1
coaches,2025,fbs_teams_with_2plus_coaches,25
portal,2025,events,4499
portal,2025,destination_known_share,0.837963991998222
portal,2025,rating_known_share,0.55812402756168
portal,2025,stars_known_share,0.847521671482552
portal,2025,transfer_date_known_share,1
portal,2025,entries_after_aug1_share,0.00266725939097577
