split,gp,model,n,logloss,brier,mae,rmse,bias,calib_slope,pred_sd,winners,np_ll,np_mae,ll_gain_vs_noprior,mae_gain_vs_noprior
cond,7+,C0,1114,0.551646600432961,0.187873001987874,12.2793160475442,15.4801389230609,-0.096842447530207,0.985851146722813,12.0817393396257,0.710053859964093,0.554570861301362,12.4173916573645,0.0029242608684017,0.138075609820294
cond,7+,C2L,1114,0.550674429410006,0.187530651004472,12.2858268253359,15.4730756575946,-0.0909507842244489,0.983315982665065,12.1211033142838,0.708258527827648,0.554570861301362,12.4173916573645,0.00389643189135624,0.131564832028557
cond,all,C0,2398,0.530400815436501,0.180026747851373,12.2655510379735,15.4395420857215,0.121507272998011,0.984504148534084,13.1846836959626,0.720183486238532,0.561607832205283,13.3325843647918,0.0312070167687823,1.06703332681829
cond,all,C2L,2398,0.529516807157986,0.179716055587385,12.2679998774215,15.4268951115592,0.169089732709121,0.982114345103234,13.2320925826725,0.721017514595496,0.561607832205283,13.3325843647918,0.0320910250472972,1.06458448737029
dev,0,C0,289,0.472291125685867,0.156808333355764,12.8879039774758,16.2342657838753,-2.1626244377735,1.21848470735045,13.1246541508368,0.747404844290657,0.6462983108958,18.1882434893054,0.174007185209933,5.30033951182969
dev,0,C2L,289,0.466530147107887,0.154798464707222,12.7922559716008,16.1297683940826,-2.18369229072435,1.22505573666219,13.1577918867087,0.743944636678201,0.6462983108958,18.1882434893054,0.179768163787913,5.39598751770461
dev,0-3,C0,1166,0.493325514899354,0.163749644549397,13.0230711992053,16.3441815802812,0.0580909948623545,1.11055251267306,13.9041860924719,0.750428816466552,0.58217975501055,15.8110965220663,0.0888542401111956,2.788025322861
dev,0-3,C2L,1166,0.490641985994929,0.162852622862825,12.9664343885842,16.2523910545514,0.192301587410844,1.11242834994812,13.9740101769548,0.75557461406518,0.58217975501055,15.8110965220663,0.0915377690156206,2.84466213348211
dev,1,C0,262,0.497449728965637,0.166105334867096,13.5416939402162,16.6355634103456,-1.4011086671683,1.18918944391104,13.6886866476636,0.732824427480916,0.581772314118659,16.9626075574789,0.0843225851530221,3.42091361726273
dev,1,C2L,262,0.494190782017513,0.165020788691205,13.5322576588758,16.525813499205,-0.997903246595797,1.19518632219696,13.7003384273928,0.736641221374046,0.581772314118659,16.9626075574789,0.0875815321011467,3.43034989860307
dev,2,C0,298,0.504977013961771,0.16529291154854,13.1455589512965,16.6257626001324,1.63979143476707,1.09337502117876,14.3231692497512,0.768456375838926,0.579982529346154,15.1416224738723,0.0750055153843836,1.99606352257579
dev,2,C2L,298,0.50665986857628,0.166315677020685,13.0558537060173,16.508606391942,1.75532517647767,1.09553427322681,14.4252942357226,0.791946308724832,0.579982529346154,15.1416224738723,0.0733226607698746,2.08576876785503
dev,3,C0,317,0.498140176340147,0.166680100404215,12.6025122680124,15.9288163570568,1.80178292038975,0.975843159915635,14.3702731419826,0.750788643533123,0.526126947789186,13.3215441610305,0.0279867714490386,0.719031893018054
dev,3,C2L,317,0.494633178017628,0.165147897692138,12.5735161207507,15.8890584371165,1.87279012920547,0.973524076959535,14.4632805029781,0.747634069400631,0.526126947789186,13.3215441610305,0.0314937697715575,0.748028040279817
dev,4-6,C0,950,0.556699491408306,0.187398007800791,12.9187801549325,16.2606868395014,0.322010510342728,0.855400807041271,13.5598275267162,0.715789473684211,0.576660064106448,13.2431064959599,0.0199605726981419,0.32432634102739
dev,4-6,C2L,950,0.556023476834506,0.18709462482469,12.9092533009537,16.242582661039,0.345294664784251,0.855200224535263,13.5946147599134,0.715789473684211,0.576660064106448,13.2431064959599,0.0206365872719414,0.333853195006197
dev,7+,C0,1752,0.531379425855442,0.17975698375572,12.6630333478067,16.0848048563598,1.19538920551257,0.993799845799231,13.0871791944955,0.713470319634703,0.533176143061052,12.8302387135952,0.00179671720561003,0.16720536578852
dev,7+,C2L,1752,0.530562710333699,0.179521215208911,12.6670284919601,16.0780568814914,1.20236731540321,0.992612214971097,13.1121516234433,0.712899543378995,0.533176143061052,12.8302387135952,0.00261343272735337,0.163210221635106
