split,model,gp,n,logloss,brier,mae,rmse,bias,calib_slope,pred_sd,winners
dev,O110,0,289,0.464545143761395,0.154282923578886,12.6494605689351,15.989106407324,-1.99021295638515,1.1710119632254,13.7712493501763,0.750865051903114
dev,O110,1,262,0.493588117460861,0.164752750144755,13.4431038906905,16.416677222882,-0.82633455542379,1.16173683372783,14.1298562838106,0.736641221374046
dev,O110,2,298,0.505884583487957,0.165782649680208,13.0264470635521,16.4883880468997,1.81750890758975,1.07050484729225,14.7634540073983,0.791946308724832
dev,O110,3,317,0.49514343772313,0.165180285649078,12.5847364023115,15.9076697399491,1.94611950811834,0.95623700800765,14.7230432727515,0.750788643533123
dev,O110,0-3,1166,0.489955153481503,0.162537191773314,12.9065437292062,16.1926823430568,0.314636655762365,1.08342889513141,14.3754830349422,0.758147512864494
dev,O110,4-6,950,0.555525817366595,0.186986924116815,12.9180688753697,16.2553889088718,0.351603187798093,0.84531466948795,13.7659484388391,0.715789473684211
dev,O110,7+,1752,0.530820566525013,0.179631345052901,12.6729865711018,16.0811708580161,1.21453579618048,0.98459466991502,13.216542323375,0.712328767123288
dev,O110,all,3868,0.524569510860786,0.17628491728318,12.8035852875972,16.1577406012798,0.731322669062903,0.984049798560216,13.7852001573459,0.72699069286453
dev,O120,0,289,0.462968094999224,0.153899001960275,12.5290465723371,15.8774707559771,-1.79673362204595,1.12077030240776,14.3894334530533,0.757785467128028
dev,O120,1,262,0.493206486405852,0.164565870189514,13.3662932457926,16.3246973902201,-0.654765864251785,1.12925906828013,14.5647937814846,0.740458015267176
dev,O120,2,298,0.505283562913377,0.165315847129225,13.0071031552862,16.4796955798593,1.87969263870184,1.04591682444344,15.1064266793706,0.798657718120805
dev,O120,3,317,0.495750093126904,0.165250268208037,12.6011529636336,15.9343077818121,2.0194488870312,0.939086606775531,14.9865264809674,0.750788643533123
dev,O120,0-3,1166,0.489489845765458,0.162299765885616,12.8589584215697,16.1493620443938,0.436971724113888,1.05499185012684,14.783191599598,0.762435677530017
dev,O120,4-6,950,0.55508709938312,0.186902945012987,12.9311543765478,16.2718590598257,0.357911710811935,0.83539099330702,13.9394662837166,0.715789473684211
dev,O120,7+,1752,0.531113246608398,0.17975259774697,12.6798990456125,16.0858293770806,1.22670427695775,0.976552528409578,13.3219706257617,0.711187214611872
dev,O120,all,3868,0.524454062211582,0.176247641167957,12.7955856528396,16.150841613825,0.775261388008818,0.969487164804131,14.0076388360972,0.727766287487073
dev,O130,0,289,0.461752139924084,0.153627107606971,12.4441996021871,15.7954768890746,-1.60325428770674,1.0740498130562,15.0117602778386,0.764705882352941
dev,O130,1,262,0.493020595840678,0.164450626307615,13.3007887171601,16.2501653325867,-0.483197173079778,1.09781938403765,15.0046796338073,0.740458015267176
dev,O130,2,298,0.504840380681281,0.164910198839368,13.007311140814,16.4825472261766,1.94187636981392,1.0218300020473,15.4538918127141,0.798657718120805
dev,O130,3,317,0.496442929957518,0.165354623213695,12.6203456219462,15.9689323941451,2.09277826594407,0.922113593714238,15.2535373329629,0.750788643533123
dev,O130,0-3,1166,0.489221789698004,0.162131177533347,12.828480798497,16.1225622629705,0.55930679246541,1.02721918751815,15.1966339882611,0.764150943396226
dev,O130,4-6,950,0.554705135453269,0.186841288638907,12.9487956405871,16.2919820019898,0.364220233825777,0.82544987515696,14.1150877444224,0.713684210526316
dev,O130,7+,1752,0.531439547787166,0.179884563405017,12.6880217373717,16.0920310972853,1.23887275773502,0.968493626944061,13.4284120915486,0.714041095890411
dev,O130,all,3868,0.524427242293587,0.176241450955645,12.794410174116,16.1505510093811,0.819200106954733,0.954818748386462,14.2339681998666,0.729058945191313
dev,O140,0,289,0.46085487488543,0.153450316227068,12.3683964617744,15.7435879437906,-1.40977495336754,1.03057363625834,15.6377352350992,0.761245674740485
dev,O140,1,262,0.493007354267056,0.164398423534714,13.2458096025332,16.1933219693405,-0.311628481907772,1.06745617813386,15.449091159327,0.744274809160305
dev,O140,2,298,0.504539721558358,0.164560992775707,13.013616287658,16.4969369993361,2.004060100926,0.998289590260002,15.8055531269293,0.791946308724832
dev,O140,3,317,0.497212451550743,0.165490305454359,12.6454557001224,16.0114917645131,2.16610764485694,0.905352225236522,15.5238938034691,0.747634069400631
dev,O140,0-3,1166,0.489128790588194,0.162023268466475,12.805776847322,16.1123654349849,0.681641860816932,1.00018410561062,15.6153547701024,0.761578044596913
dev,O140,4-6,950,0.554377612092026,0.186800594174421,12.9688949520473,16.315744219914,0.370528756839622,0.815510082999807,14.2927352768597,0.716842105263158
dev,O140,7+,1752,0.531798178556792,0.18002682385072,12.6969283032582,16.0997742352821,1.25104123851229,0.960425342810496,13.5358428191944,0.711187214611872
dev,O140,all,3868,0.52448120737972,0.176263363723907,12.7965368137877,16.1568691445316,0.86313882590065,0.940098796065648,14.4640056082301,0.727766287487073
dev,S090,0,289,0.470839630938114,0.15579303467481,13.1039436869314,16.4577687214528,-2.522372440101,1.35163241313755,11.9356754739848,0.754325259515571
dev,S090,1,262,0.495565294073149,0.165597034853293,13.6909667615481,16.7530641429075,-1.38743779539,1.26751332339159,12.8731333275879,0.740458015267176
dev,S090,2,298,0.508671242599766,0.167497186680121,13.1185344579671,16.573435720116,1.6349581316879,1.14998445425318,13.7403689264998,0.775167785234899
dev,S090,3,317,0.49491103399239,0.165389591860264,12.5905669117742,15.8845439424908,1.72605090940687,1.0077684204375,13.9534390623733,0.741324921135647
dev,S090,0-3,1166,0.492608566431044,0.163596288510259,13.1000051428434,16.4011564690485,-0.0498273379557426,1.17431617239018,13.1835472181422,0.753001715265866
dev,S090,4-6,950,0.55703158678699,0.187380764030199,12.9014719317734,16.2298232753658,0.334425385659993,0.874745035065264,13.2563567847697,0.717894736842105
dev,S090,7+,1752,0.530170789166903,0.179372190809303,12.6617241140201,16.0747686210825,1.17683376658577,1.00923686183919,12.9001404853676,0.714611872146119
dev,S090,all,3868,0.525444885865215,0.176583525472996,12.8527262097992,16.2118378407084,0.600159824037972,1.02756054080362,13.1372448654559,0.72699069286453
